overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
1.0,True,"01 12, 2016",A3A2HBBBNK3CEN,B00MB40B0C,simplynuts,"Had to return this because no matter how many times I synced it I could not get the joysticks to work properly. I bought it for minecraft. I even updated the wii u just in case. All the buttons worked, just not the joysticks. Plus, when you plug it in to charge, you can here a high pitched buzzing noise. Though the construction is acceptable those two details I listed are total game breakers... you will have to risk it if you are going to get a functional one. I'm betting I just got a lemon, but it seems common with these controllers.",It's a gamble.,1452556800,6,{'Color:': ' Black'},
1.0,False,"07 25, 2007",AK4NBAU41ODBO,B000F5RW1U,RPG Fan,"You're on the right track if you're reading this now.  The 360 overheats, everyone knows that by now, and if you want your investment to last a little while you're going to need to do something about it.  The Nyko Intercooler is an amazing device and really does a great job at dissipating heat issues; but, DON'T BUY THIS MODEL!  GET THE NYKO INTERCOOLER EX!  It should have been a no-brainer from the beginning that using plastic in the AC port was not a good idea.  Nyko has fixed the problem of melting with the EX model, which actually has metal in the AC bypass.  Again, should have been a no-brainer but, as always, money talks.  The Intercooler is an absolutely essential item, I've noticed a remarkable improvement.  After 4 hours (I know every 360 owner is cringing right now, any longer than 2 hours of use is X-Box suicide) of Oblivion the frame-rate and loading was still perfect, exactly as if I had just started the game, and the console itself was only lukewarm to the touch.  The Intercooler works, just not this model.  Look up the Nyko Intercooler EX and your worries of overheating issues will be gone.  (As well as melting concerns.  Again, metal in the EX, plastic in this one.)",Get the EX!!,1185321600,15,,
1.0,True,"03 17, 2017",A2CH7GW53QT5V2,B002I096Q4,the_penguifarian,Bad bad game bungie...,One Star,1489708800,,{'Format:': ' Video Game'},
1.0,True,"12 22, 2014",AR39EFRQ2XDCG,B00K848IH0,Jo Elsner,"Christmas gift for our son, he will enjoy it",he will enjoy it,1419206400,,"{'Edition:': ' Alpha Sapphire', 'Platform:': ' Nintendo 3DS'}",
1.0,True,"02 8, 2016",A14WYVGHLVNTSZ,B00D2ZK2Q2,R. Slesinski,"I'll never experience this game on my pc, because the platform information is Totally Wrong!!! This thing runs on Windows 7 to 8.1, NOT Vista or XP. Beware. False advertising!!",Will not run on vista or xp!,1454889600,,{'Format:': ' Video Game'},
1.0,True,"05 17, 2018",AG0PZ3ODYEH2R,B00W8FYF56,Dalton S.,"EA ruined Battlefront.  The graphics, sound, and feel of Star Wars are spot on.  Super realistic visuals and game space.  Gameplay was horrible.",Super realistic visuals and game space,1526515200,,{'Format:': ' Video Game'},
1.0,True,"12 5, 2013",A3E2R2IEF3N82E,B005N7H3RS,Chickenman,"When you read this review, please pay attention to the number of missing letters from words.  I will not correct the review in order to prove a point.  Sometimes the keys press fine, other times you push the keys and the letters do not register.  I am about to jun this keyboard based on number of times I have to go back an insert letters into emails and searches.  Some times auto correct is a help and adds the letters, as I noticed in this review.  Othertimes, it completely changes the word.

The extra buttons below the spacebar have been useless to me and my gaming, so I sit them off.  Sometimes, when playing games, the keys (specifically the W key) will stop responding and my helicopter will fall from the sky or my character will stop running for no reason.

I can not stress enough how much of a piece of crap this keyboard is.  I bought it new and regret it every time I ue it.",Absoute garbage!,1386201600,25,{'Platform:': ' PC'},
1.0,True,"02 19, 2015",A3CPVIIGQ1BY5E,B00DUARBTA,Brian S. James,"Maybe one star is not really a fair review since I haven't played the game for more than an hour or so.  Then again, the reason I haven't played it is because I just don't find it as fun as previous Lego games.

1.  The voice acting is awful.  When I first started playing Lego games, I wondered if the sound was screwed up since the characters didn't talk.  I realize pretty quickly that it would have detracted from the games to put voice actors in there.  With the iconic roles that were being taken on, there really was no point in trying to have someone ""do"" a voice.
2.  The dialogue was also pretty bad.  Iron Man kept spouting stupid lines like ""Oh Yeah"" for no particular reason.  The Sandman kept making the same awful jokes over and over.  I have nothing against awful jokes, but going back to the voice acting, they just weren't said with any conviction.
3.  Controls are hard, IMO.  I swear I was pressing square to fire/throw something and it just wasn't happening.
4.  It was hard to figure out what to do even with the non-stop prompts.  For example, there was a place where Bruce Banner had to jump on a web thread.  But, if you weren't lined up exactly right it wouldn't work.  Maybe that's more of a control compliant.

There was just something about this that lacked the charm of the other Lego games and I can't recommend it.",the reason I haven't played it is because I just don't find it as fun as previous Lego games,1424304000,4,{'Format:': ' Video Game'},
1.0,False,"12 23, 2007",A8IRV370GT4JW,B000W5Y49G,The Outrage,"This product is terrible.  It is poorly designed and a pain to use.

Design problems:

The stock itself is too small for most adult hands.  The spacing of the fore and aft grips isn't very deep.  This will put your arms into an uncomfortable position for playing.  The trigger is located on the front grip.  This is completely counter-intuitive.  This will force you to either hold the device in an unusual way or operate the trigger with your less-dominant hand.

You are forced to ""assemble"" the controller before use:

Remove a cover plate
Lock the Wii remote into the forward portion of the stock
Unlatch the Nunchuck cord holder (which is very flimsy)
Insert the Nunchuck
Feed the Nunchuck cord under the stock
Wrap the Nunchuck cord inside the stock
Relatch the Nunchuck cord holder
Cover up the wrapped Nunchuck cord with the cover plate
Feed the Nunchuck cord to the Wii remote
Figure out what to do with the dangling Wii remote's wrist strap (Nintendo doesn't provide any mechanism for this)

After that process you can finally use the glorified Wii controller mount.  Was that worth your effort?  No way.  Placing the Wii's controller in a gun-style stock is nonsensical.  Your sighting down the device in no way relates to the reticle's placement on the screen.  This is a limitation of the Wii's sensor bar.  It's a one-size-fits-all affair so it can't be calibrated very precisely (besides top of the set versus bottom).  The top (face) buttons on the Wii remote are impossible to use while the Zapper is in normal use.  You will have to hold it in an awkward manner to operate them.  The transposed ""B"" button (the trigger) seems cheesy.  It is sloppy in feel.

The pack-in game:

Link's Crossbow Training is a snore.  It's a very shallow target shooter.  The design is a direct rip off of Twilight Princess.  The levels don't even appear to be changed significantly.  Nintendo put the least amount of effort into this ""game"" as they possibly could.

More Wii shovelware:

This is another example of a company trying to cash in on the Wii's popularity with another sub-par product.  Avoid this like the plague.  It has no redeeming qualities.  You can actually be more successful at shooting games using the standard controller.  This only impairs your abilities.","Horrible hardware, Nintendo cashing in...",1198368000,18,,
1.0,False,"11 11, 2014",A1MHB1HRR6VPEH,B00KSQHX1K,Stephanie,I already own all of them. So why would i buy it again? geez release new games and not the same crap,Rip off,1415664000,13,,
1.0,False,"05 28, 2012",A325TSWX3H1W4K,B00178630A,M.G.,"I was big fan of Blizzard, I practically grew up playing their games and saw how they came up from being my favorite ""small video game company"" to this titan corporation on the market, and I couldn't be happier.

However, is very apparent to everyone that is not completely blinded by their fanatism for Blizzard, or lacks one cent of objectivity, that Blizzard has transformed into this 100% profit seeking-board pleasing corporation with no other priority other than making as much money as possible no mather what. Look, I'm ok with companies doing that, if their product continues to improve or at the very least remains top quality. Unfortunately that's not the case with Blizzard, they are no longer this ""quality benchmark"" or ""standard placer"" on the market as the original Warcraft, Starcraft and Diablo games did. And nothing proves it more than Diablo 3.

Basically, if you haven't bought the game, let me resume it in few sentences. They spent far more time in trying to develop this cash milking idea of real money auction house than they ever spent on working in the story line, mechanics, game depth, etc etc. I mean, as their crash-n-burn launch was happening, literally, their message from the Blizzard team on their website was regarding how the real-money auction house was delayed for few weeks.....really? That shows you were their mind is, while millions of players in north america were angry because they couldn't play their single player game that requires full time internet connection, according to Blizzard the most pressing issue at that moment that required inmediate addressing was....the fact that their Real money Auction house was down.

If you are a RPG lover, or just a player that enjoys the occassional good RPG and has played any of the recent ones...save your money. You will get bored of diablo 3 in propably a week or 2. The only reason to continue playing this game beyong the first 2 full runs (which happens really fast), is to farm for money or try getting the most amaizing gear ever which btw ends up being completely pointless because there is not even a PvP system (they say it will be released in the future, but they said the same almost 2 years ago about SC2 team support, market and other features, and still hasn't happened).

I mean honestly, coming to play diablo 3 from recently released RPGs like Mass Effect 3, Kingsdoms of Amalaur, Skyrim and others, you feel that this game should be free, or it was made by an Indi company. Err...nevermind, Indi companies have better inspiration and would've probably written a better more compelling story line.

Bottom line, a poor RPG for today's market, specially coming from recently released RPGs that are now half the price almost. Mediocre mechanics, 0 game depth and a story line that a 5th grader could've written better in less than a week. It's basically Diablo 2 with updated graphics and more streamlined and dumbed down interface mechanics and no comparabble story telling. Worst part is...... that you can't expect anything better than this from Blizzard in the future. Oh, yeah, did I metioned that the game failed to work for the first 5 days after lanunch? and that their forums continue to be plagued by people having horrible experiences with errors, crashes, unsupported video cards, and no less importantly a recently wave of hackings that happen on real time to people that have authenticators, double firewalls, etc... and Blizzards resonse seems to be ""your problem bro""?? Yeah....",Blizzard lost the charm. Diablo 3 mediocre at best.,1338163200,51,{'Format:': ' Computer Game'},
1.0,True,"11 11, 2012",A3AKCTPH8FW21R,B0000631VX,klocke,"It came as requested; however, it does not work on my old, big system but hopefully it will work on my brother's newer slimmer system. I hope so; it is a Christmas gift for him.**It did not work for him either!",It came as requested...,1352592000,,,
1.0,True,"02 22, 2014",A13PTDC1W7TZDR,B001OAKV4K,Phil B.,"The Operation Flashpoint Games are great for cooperative play over a network - IF they work.  This game did not work for us.  We therefore can NOT recommend this game for purchase.  Before we ever buy any OFP title ever again, we would require a money-back guarantee IN WRITING that their cooperative play mode WILL work for the life of the original purchaser.",Does Not Work for Coop,1393027200,,{'Platform:': ' PlayStation 3'},
1.0,True,"11 13, 2017",A1XOHEA93BBFJN,B00006JN5H,zachary walden,Wrong game was inside.,One Star,1510531200,,{'Format:': ' Video Game'},
1.0,False,"09 13, 2014",A1OG3N2BYWTKR,B00BGA9Y3W,Strider Hiryu,"Overhyped game. Love all Halo and Borderland games so came away disappointed. Should have listened to day 1 reviews from the other major critic review website showing 120 positives but 100 negatives. Bad sign. First I was fooled by the hype of Titanfall, then Diablo III, and now this.

Pros:
- Nice graphics, sound, and gameplay.
- Adventure/light RPG elements.

Cons:
- Just plain not fun and very boring. That goes for the main modes of the campaign which feels like all the missions are just the same.
- Same for vs multiplayer. Not much difference in playing the levels. No variety?... No large 8 vs 8, 12 vs 12, etc. No CTF. No TDM. No invade the base types.
- Lots and lots of rinse and repeat campaign missions or objecives leading to it being repetitive. Too much being the same. Same for multiplayer.
- Playing by yourself is a horrible and extremely boring experience. I played a couple campaign levels with some randoms and it was a little more fun. I play online w/ a dozen close friends and family but NONE of them wanted this game so playing vs multiplayer wasn't fun and was boring. Probably would have had more fun playing campaign w/ close friends and family.
- Nothing special or exciting when doing anything in the game from start to finish. Walking around the planets, talking to people in the city, picking up new equipment, getting new weapons, campaign missions, and vs multiplayer. Found myself going back to my laptop, tablet, phone, or just dozing off/falling asleep on my couch.
- Online only. I have a couple friends that love campaign games but didn't know it can't be played offline. Dumb.
- Kicked you out for being idle. Very annoying you can't pause the game. Sometimes I'm in the middle of a mission but like to do things like start laundry, take a long bathroom break, or fix something to snack on for a few minutes. I come back and I got kicked out to the main menu for being too idle. Dumb. I'm in the middle of mission to get up a few min now I have to start over.
- Peter Dinklage as the main commentator is horrible and sounds very boring. Love him as an actor. Stuck with hearing his non exciting voice in all modes.",Overhyped. Boring campaign. Boring multiplayer. Not fun. Online only. Better with friends.,1410566400,20,{'Format:': ' Video Game'},
1.0,False,"10 24, 2005",A3S95B95LNZVN3,B0000CED4T,James,Then this will not work on your console. But if you have the huge old ps2 console then this will work on you console. If you do have the slim console then you should get a game shark.,If you have the newer slim ps2 design then.............,1130112000,8,,
1.0,True,"10 26, 2016",ATVDPWOP3879,B00001WQHN,Amazon Customer,Product is a dudd,One Star,1477440000,,,
1.0,True,"08 8, 2012",A14J9RWJHJNA4X,B007NUQICE,schelle,"i am anal about buying all or none of some collections wether i like it or not. this add on is stupid and very little use to me,",sweet treats,1344384000,5,,
1.0,False,"01 8, 2014",A2W99G61E5ZPF0,B00005MI42,Amazon Customer,"There is one reason why I give this game 1 star. Because of one reason...the game is creepy. Why is it creepy? If you are a smart gamer like me, you know most Wario bosses are disturbing. The bosses in this game give me NIGHTMARES!!!!!!!",Creepy for only one reason...,1389139200,,,
1.0,True,"01 6, 2013",A13QOK3SKIT9QL,B000UKZ208,Arnold J. Calderon,Controlling the games is just terrible. There are games that you just don't know how to play it. Others are so silly that takes the fun out.,Terrible...,1357430400,,,
1.0,True,"04 21, 2015",A1MQD3NLTOFDB3,B00KX766ZS,Nichole matijak,The reason I am rating it 1 start  is because I think it is a hard game and it is a challenging game haven't beaten it yet still  stuck on this one level this is a hard game to beat might give it more stars if I can figure out how to get farther in the game what is with games these days they make it like they don't want you to beat it or something like they did on resident evil 6 for the Xbox 360 farther into the game it gets so hard like you would not believe it would be,It is a good game but hard if you  like challenging games,1429574400,,,
1.0,False,"09 20, 2012",A3U0S17XYK8XMJ,B0056XXKIK,Alexander Lucard,"I can't believe Maximum Family Games didn't price this at $19.99 - the typical price for terrible low budget games on the 3DS (or regular DS). THe controls are unresponsive and poorly designed. The 3D aspects tend to flicker rather than stay constant (due to the motion of the game and its frame rate), multiplayer is all but useless as no-one is ever online to partake and there is no actually difference betweem the various weapons you can use. So go ahead, use that handgun to shoot moose and dinosaur...because that would work. At least the animals actually look like their real life counterparts. Except the dinosaurs as who knows whether or not they were scaley or feathered. Controversy still reigns there.

Just stay away from this turkey. If you really want a hunting game, you're probably better off with a Wii title. I don't think there are any for Move or Kinect snd since Wiimotes function pretty well as a light gun, that's your best option.",Terrible Game in Every Respect,1348099200,,{'Format:': ' Video Game'},
1.0,False,"01 9, 2010",A1SVMDEO8UY6SG,B001D5DQL6,Jackie T,"I usually don't have much to complain about in a game, but this is purely awful. Most people's main complaint is the ""clumsy interface."" It's true, the interface takes a lot of getting used to. However, even then, individual unit AI is so pathetic it's saddening. units will cancel special attack and defense modes on their own, run up to enemies without fighting, and occasionally teleport around the map like First Person Shooter lag. I've also noticed that one of the units, supposedly making a large explosion, has no graphics when attacking and things under it simply die mysteriously. Honestly, I have my doubts that they even finished this game before releasing it.",Terrible.,1262995200,2,{'Format:': ' Video Game'},
1.0,False,"10 10, 2004",AYWSFRCIMOAYE,B0000664JE,Cestmoi,"You play as a cop in this game. You can rob a car just like in Grand theft auto. The worst problem of this game is the graphic. It does not have many details.
The car you're driving look almost the same as others on the street. They are all black or dark brown!
Id rather play Maxpayne 2 or Burnout 3",Another shooting & driving game. The graphic is bad.,1097366400,2,,
1.0,True,"07 12, 2013",A1MDJ6P3DGNFE9,B00002STXG,Roby Safford,"Doesn't match the pic and I don't remember any mention of this by the seller, Again European version. I'm sure it would work on a European SNES.",Pal version won't play on any of my US machines.,1373587200,,{'Format:': ' Video Game'},
1.0,False,"02 25, 2016",A3OTNQKNLQDRNY,B006JKASAC,ShadowKnightX4,These things are definitely over priced. Unfortunately no one carried these at my walmart any more and now I gotta send my soul for one of these. Talk about something that's about the price of gold...,These things are definitely over priced. Unfortunately no one ...,1456358400,,,
1.0,True,"12 23, 2013",A2VTGT6KAIOKC6,B001TOQ8X4,Pei Kang,"I just burned my Guild Wars 2 new account twice and can't log in at all.  If anyone out there who is a true nerd/geek or gamer can help let me know in comment sessions thanks.

I tried using my old account password and didn't work as well.  They recognized my old character names, but I can't enter. I can still use them to play GW 1, however.

Their customer support on both their phone and their facebook site is lousy-they don't reply at all to your questions.

I'm done with this company, good riddance.  Good thing I bought it under $25, so, I can swallow this loss better if I had say bought it at its highest price.",ANet really needs to get their act together-cannot log in,1387756800,2,{'Format:': ' Video Game'},
1.0,False,"09 16, 2010",A35Y3RUMLDXREW,B000UW1YBW,billygoat,"This game has a nice style to it and its different. However, its the only ps3 game that I did not finish even though I was very close to the end. the gameplay rapidly becomes very repetitive and just not interesting. Its really more of a chore. Too bad but it did have potential. I have palyed over 25+ ps3 games. My bottom 2 are MGS4 and folklore. There are many excellent games (demons souls, bioshock, uncharted) but I would not recommend this.",Some good things but overall boring,1284595200,3,,
1.0,True,"03 3, 2017",A171XAQANB8DO4,B00SUYAA12,jb512,can't get the ting to work properly...  the buttons are all mapped incorrectly and some of them don't even register with gaming programs.  Waste of time and money.,Waste of time and money,1488499200,,,
1.0,True,"05 5, 2016",A35P9TLYXU0QBD,B00L3KU0S8,Jake Socks,Absolute garbage !!!!!  Horrible fabric. Equal to a very low quality gym bag. Very coarse.  I could sand my car down with this.,Do not buy !!!,1462406400,,{'Color:': ' Black'},
1.0,True,"11 6, 2016",AHFZCCZGI8MFX,B01EZAA2ZI,M. Joy,"This game is like your first serious relationship.  You think that it's true love, that it's ""the one,"" and that it will never end.  Over time, things slowly change.  A new haircut, new clothes, new group of friends, etc.  The changes are slow, incremental.  Each change is only slight enough that you notice it, but the familiarity is still there.  You have your fights, things are said, mistakes are made (Ghosts), but you are committed and you stick with it.  Then, one day, you're in the middle of your routine and you realize that the relationship is over.  Your significant other has changed so much that they are unrecognizable.  That's what's happened here.

COD slowly lost the plot through previous years.  They've kept all the weird changes and updates from old editions, just layering them on top of each other.  This is so far from the fundamentals that made it great that I would not have been able to recognize it as a COD title but for ""CALL OF DUTY"" being slapped on the cover.

You can make your own class, but then you have mech armor/suits layered on top of that.  There are some strange choices in the tactical grenade menu.  They've kept that weapon/item that charges throughout the round.  Then my personal pet peeve, the jumping/jet pack and wall running, is still in the game.  They have now completed the transition from a solid, fundamental FPS to the dudebro, Dorito and Mountain Dew choice of 12 year olds everywhere.  This is ADHD in video game form.

The only redeeming quality about this game is the Legacy Edition came with one of the best COD titles and multiplayer ability.  Even then, Activision won't let me sell off the IW disc if I still want to play MW.  I guess I will have to come to terms with the fact that I paid $70.00 for a remastered Modern Warfare and got a cheap Halo knockoff  included.  The remastered Modern Warfare is the only reason why I can give this a star (and the fact that Amazon does not allow a zero star review).",This game is like your first serious relationship,1478390400,900,"{'Edition:': ' Legacy', 'Platform:': ' PlayStation 4'}",
1.0,False,"11 15, 2016",ARFPGL7OEATYH,B01GKGVI8K,USERBOSCO,"C++ Redistributable runtime whatever 1612 errors for a full day. Tech support blows, and there's nothing online addressing this other than delete the redist.... And reinstall. Uncle! I give up EA, until you get your act together and and figure this out, I'll just bow out.","Origin stinks, and EA's tech support is non-existant  -  Full refund time",1479168000,,"{'Edition:': ' Standard', 'Platform:': ' PC Download'}",
1.0,True,"11 15, 2017",A3FIZI590M0UFO,B00FM5IY38,Tyler Durden,wtf why would I order this? I don't own an xbox one,One Star,1510704000,,{'Edition:': ' Standard'},
1.0,True,"03 31, 2014",A2AFKR61XBQQSA,B00CXCCI8A,Sebastian,"When i bought the game i thought that it had tournament mode to play with my friends.

The ps3 have that mode, so why the ps4 do not have?

Don't spend money if you have ps4 until EA put the tournament mode in this game.",No tournament mode avalable,1396224000,,{'Format:': ' Video Game'},
1.0,False,"09 24, 2013",A4Z9NHOW5LT0M,B00002STT1,JoB,"Really boring, the gameplay was too lame and the sequences were quite laughable in the wrong way, really bad game overall.",Boring.,1379980800,,,
1.0,False,"08 4, 2016",AQ16NZQPMQH28,B000ZKA0J6,Jopom,"Are you a working person who likes to play a game every now and then?  Any game from Blizzard is NOT FOR YOU.  UPDATES!  Everytime I load the game I have to wait a half hour for updates!!  Sure if I played it everyday or at least once a week it wouldn't matter since the updates would be small.  But when I finally find a little time to sit down and play, nope, I have to wait for updates. I can't play this game!  I'm too busy!  Oh, you can't play the game offline, don't be fooled by what it says on their website.  It's bull.

So unless you're a kid, unemployed, or just a hardcore gamer, don't buy this game.  Most of your time committed to this game will be waiting for it to update... again and again and again.  Remember the good old days when you bought a CD and the game was yours?  GONE.",I can't play the game!  I'm always waiting for updates!,1470268800,,{'Format:': ' Video Game'},
1.0,True,"10 11, 2015",A2I8YS292506QX,B000TGKU7I,Aaron Dennis,Way too hard for what it is. Didn't hold my interest. Try it on PS2 instead!,Turrible,1444521600,,,
1.0,True,"12 7, 2013",ANQP6043FTSDJ,B001NQ7GH0,Nadar,Going past the first plane fight is a deal breaker.... The controls are awful for a plane flying. I wish there was way to skip past the first round,Bad bad game for casual playing.,1386374400,,{'Platform:': ' PlayStation 3'},
1.0,False,"09 10, 2008",A21IIDAK6HD067,B001AYEGXM,Brian,"In no uncertain terms will I accept this kind of license from any company claiming to ""sell"" a game. You are basically paying money for an extremely flawed and one sided license. This game isn't for sale, it's not even for rent, it's basically up to EA's discretion for how long they want to keep it alive.

When EA was done with several games they just shut down the activation servers and screw all the people that PURCHASED the game forever. These conditions are reprehensible. EA will never have the option of my business EVER again.",In no uncertain terms,1221004800,27,"{'Edition:': ' Galactic', 'Platform:': ' PC/Mac'}",
1.0,False,"03 1, 2010",A1NTQQ579L5WTI,B001Q96ZNU,M. Bell,"Wonderful game, loved the original and heard nothing but good things about the series, but I will not allow a company to install software that I do not want on MY computer, nor will I turn my computer into a SecureROM game station.

My computer, my way, or not at all.  Boycott DRM infected games.","Almost, but DRM Killed the Deal",1267401600,46,{'Format:': ' Computer Game'},
1.0,False,"11 4, 2014",A2C7M79A9NKF5E,B00FRESY4I,Mark McLaughlin,"Really awful. Last gen graphics and sound, bad production, clearly a cash grab with no soul to it whatsoever. Avoid like the plague.",A Travesty,1415059200,,{'Format:': ' Video Game'},
1.0,False,"11 22, 2016",A2LARBED8OWBLZ,B012E58DFC,QR Winner,"What makes me angry about this anthology set, is that despite having the physical discs. The discs contain hardly anything on it, they are literally just the product key. You don't even need them, you will have to install the full games through steam. What is the point of giving me physical discs if I can't really use them?","What makes me angry about this anthology set, is ...",1479772800,,{'Edition:': ' Standard'},
1.0,False,"09 24, 2010",A2HUOXT1ITNA30,B004774IPU,JGT,The game is full of problems. Takes 5 minutes to load and crashes all the time. The game is less polished than Civ 4 in almost every way. It's a shame a big title like Civ 5 from a great franchise plays like a rush job from a third rate developer. Should have waited for the reviews instead of wasting my money on the first day.,"Full of problems, terrible!!",1285286400,7,"{'Edition:': ' Standard', 'Platform:': ' PC'}",
1.0,False,"09 14, 2016",A1HOW0WZFDZM2W,B00ZPQZMUM,R.Hill Clark.,Hot garbage,One Star,1473811200,2,"{'Edition:': ' Standard', 'Platform:': ' Xbox One'}",
1.0,True,"11 20, 2016",A28C7OP8IZ3JNZ,B00KWG4HG0,Leo C.,i like the old concept better.,One Star,1479600000,,"{'Edition:': ' Standard', 'Platform:': ' Nintendo Wii U'}",
1.0,False,"04 23, 2003",A198KI926OU1KB,B00006LISR,Confucious,"This game bites!! The characters repeat the same stupid phrases every time you order them to do anything.  The gameplay is [bad], it is not strategy but more of a second person accomplish a set mission style game.  The ambushes always happen in the same places.  It is impossibly hard at times and if the main character (sgt lionsdale) gets killed, you have to start over at the beginning of the mission.  The other soldiers will not even return enemy fire unless you order them to first face the enemy and second open fire.  Don't buy this game, it [is bad]",Horrible Horrible Horrible don't buy it,1051056000,8,,
1.0,True,"11 12, 2016",A3M1D0LISIREHH,B00UO4NL9Y,A. Customer,"do NOT buy this, i didn't get a key thus its worthless, square enix won't help and amazon doesnt understand that there has to be a key or it doesnt work, that key is a vital part of the game and they shouldnt be selling it without it, nor should square enix be selling it without a key, do NOT buy this game.","do NOT buy this, i didn't get a key ...",1478908800,,"{'Edition:': ' FINAL FANTASY XIV Online', 'Platform:': ' PC'}",
1.0,False,"02 4, 2010",A2M0MXUUWXIEQV,B002BRYXRQ,Christopher Vester,"Figured I would let the fine people of Amazon know about this product.

Graphics: N/A
Gameplay: N/A
Story: N/A
Multiplayer: N/A

I haven't even played this game. Not from a lack of trying however. When I install the game I get a lovely message:
""Steam server is unavailable

Your computer is either currently unable to reach the Steam servers, or the service may be temporarily disabled. Please try again later.""

When I goto the steam support website I get:
""Help Desk Error

Our help desk is currently disabled. Normal operations will resume shortly. Thank you for your patience.""

Browsing around the internet I find this is a common problem with all steam games.

I have had it up to here with these gaming companies and their ridiculous DRM policies. NOT ONE, anti pirating, invasive, worthless DRM has stopped pirates from copying games. NOT ONE. Any game in the world has been cracked and exploited and copies can be downloaded for free. So why do these companies insist on trying to stop them?!?!? THE CANNOT STOP PIRATES.. PIRATES WILL ALWAYS FIND A WAY!!! So why punish your paying customers with unessisary DRM that prevents me from popping in a DVD and playing the damn game?

I refuse to purchase another game from valve that uses steam. In fact I might just return this copy and pirate the game... at least then it will work...",Haven't Ever Played It,1265241600,16,{'Platform:': ' PC'},
1.0,False,"02 22, 2016",A2YH0PPFMHQAA4,B017WJXSDW,Grumpy Catterman,"The game is poorly translated and censored.  I don't know why Nintendo let the localization team put this game out the way that they did but they have ruined the dialogue from the game and just made up their own in places.  Terrible cheesy memes instead of dialogue, even just an awkward silence between two characters where they forgot to add dialogue.  The original game may have been good... but they ruined it.","""Localization"" apparently means censorship and bad translations.",1456099200,13,,
1.0,True,"02 17, 2016",AX4MKGS2U5ZQN,B00LNFK592,Felipe Arturo Surez Corts,De Code does not work,One Star,1455667200,2,{'Platform:': ' PS3 Digital Code'},
1.0,False,"08 27, 2014",A3NVUWGN8AEKP3,B00LF1LK4I,THE GORN,"What a piece of  ""  ""  this is!  Worst port in the world. An insult to every PC gamer!",More Console Suck UP Garbage.,1409097600,,"{'Edition:': ' Base Game', 'Platform:': ' PC Online Game Code'}",
1.0,True,"11 20, 2014",ABO6TG6Y8L091,B000ENW5W4,Richard,There should have been an online only in the description of this game,Yes it is online only,1416441600,,,
1.0,False,"03 30, 2004",A8CGWL0RV5MYG,B00006LEMK,Elizabeth R. Powell,"to sum this up quickly, this is one of the most bland, boring, slow, and inspirationless RPGs i have ever played in my life. the battles reach a new level of monotony and the EXTREMELY stiff animations, bland backgrounds, and a total lack of texture variety contribute to this. the hugely frequent random battles are a huge turn-off, as you'd think RPG designers all realized that random battles are not fun. the story is absolutely ridiculous and in the five or six chapters for all the characters that i trudged through, nothing happened that was at all interesting. nothing. of the three main characters, only Hugo is worth playing, since he's the only one that EVER shows emotion or does ANYTHING worth watching. Chris and that mercenary guy whose name i forget are complete jokes. they're the most pointless character designs i've ever seen. their stories are absolutely NO fun. don't even get me started on the secret chapters that you can unlock. Tom's, for example, is a quest across the same three towns where you recruit people. you don't know who you can recruit, so you have to talk to everyone in every town, and sometimes buy an item for them to convince them to join you. Fun. as for the music and sound, they're just as sub-par. sound effects are SPARSE, and the music is as uninspired as it gets. i actually kept this game thinking it would get better considering the raving reviews (and the awesome intro), but it's absolutely pathetic. a massive tarnish on the suikoden series.",worthless.,1080604800,4,,
1.0,True,"01 16, 2018",A2WZ8WM8RD2ZPC,B00MCYALXI,NINEVA M GUTIERREZ,could not get to play,One Star,1516060800,,,
1.0,False,"01 6, 2003",A2SIYZ4V2EUL56,B00005Q8IW,FARSWE,"If you've ever played the final fantacy series (ESPECIALLY the latest one) you will be very, very disappointed.
The game playes in a limited area and revolves around solving puzzles. So far so good, but the load time between scenes is horribly long and annoying. I'm a gamer and I could sit hours and play a good game, but this one puts me to sleep after an hour! Every turn you make, you enter a new scene (remember there are limited number of scenes to start with) and you'll have to stare into a black ""now loading"" screen for up to 7 seconds.
I don't recommend it for anyone over 12.",awful,1041811200,6,,
1.0,False,"07 14, 2015",A1WVJ96ZJ3NL0A,B00OY9R1KA,Stephen,"DO NOT BUY THIS GAME. Electronic Arts is stealing you money and giving the bearest of s*** that they can muster to call a game. DICE is equally s***** for partnering with them. The number of problems in this game is mind blowing and I'll hit on my favorites, if I can call them that. First of all, the hit registration in BF4 is a joke and EA wants all of your money and won't spend any on dedicated servers to fix this. Side note to that, because they don't have dedicated servers, you can only join servers that have low ping, AKA I should just go F*** myself if I happen to want to play a certain game type since there aren't as many servers. Also, since people host these servers themselves rather than EA not being little s****, they can set whatever playstyles or game rules they want, so it's especially hard to find any consistency at all. You'd never find two of the same server, which sucks when one is dead or full of a constant one sided team as neither the game nor the independent servers have an efficient balancing system in place. I could go on but you should just do research into youtube videos about the problems of BF4 before you throw money away to EA. Ps. I hope everyone who preorders game dies b/c you're the reason that EA can get away with releasing a s*** game in the first place. Since they have your money before they even give you a game, they don't even have to try.",which sucks when one is dead or full of a constant ...,1436832000,6,"{'Edition:': ' Premium', 'Platform:': ' PC Download'}",
